x1,x2,y
5,1,red
5,4,red
3,1,red
6,8,red
4,1,red
8,10,blue
1,1,red
2,1,red
2,1,red
4,2,red
1,1,red
2,1,red
5,3,blue
1,1,red
8,7,blue
7,4,blue
4,1,red
4,1,red
10,7,blue
6,1,red
7,3,blue
10,5,blue
3,1,red
1,1,red
5,2,blue
3,2,red
5,1,red
2,1,red
1,1,red
3,1,red
2,1,red
10,7,blue
2,1,red
3,1,red
2,1,red
10,10,blue
6,2,red
5,4,blue
2,5,blue
10,4,blue
6,10,blue
5,6,blue
10,10,blue
1,1,red
3,7,blue
1,1,red
4,1,red
7,8,blue
9,5,blue
5,3,blue
10,3,blue
5,5,blue
10,5,blue
10,6,blue
8,10,blue
8,2,blue
5,2,blue
9,5,blue
5,3,blue
1,1,red
9,10,blue
6,3,blue
1,1,red
10,4,blue
4,1,red
5,3,blue
8,3,blue
1,1,red
5,1,red
6,10,blue
1,3,red
9,4,blue
10,6,blue
1,1,red
1,1,red
5,3,red
3,1,red
2,1,red
2,2,red
4,1,red
5,2,red
3,1,red
3,5,blue
5,10,blue
3,3,blue
3,6,blue
4,1,red
2,1,red
1,1,red
3,1,red
4,1,red
1,1,red
2,1,red
1,1,red
2,1,red
5,1,red
9,6,blue
7,5,blue
10,3,blue
2,3,blue
4,1,red
8,2,blue
10,10,blue
7,3,blue
10,10,blue
1,6,blue
1,1,red
6,5,blue
1,3,red
8,6,blue
10,3,blue
10,10,blue
3,3,red
1,1,red
8,3,red
4,5,blue
1,1,red
3,2,red
1,1,red
4,2,red
10,10,blue
5,3,blue
5,4,blue
1,1,red
7,5,blue
3,1,red
8,3,blue
1,1,red
5,1,red
2,1,red
5,10,blue
3,1,red
3,1,red
5,1,red
4,1,red
3,1,red
4,1,red
3,1,red
2,1,red
9,5,blue
1,1,red
2,1,red
3,4,blue
1,1,red
3,1,red
8,8,blue
1,1,red
7,2,blue
10,10,blue
4,1,red
1,1,red
5,5,blue
1,2,red
2,1,red
9,9,blue
10,7,blue
4,1,red
3,1,red
1,1,red
4,1,red
5,6,blue
10,8,blue
3,1,red
1,1,red
3,1,red
1,1,red
1,1,red
6,10,blue
8,6,blue
5,8,blue
2,1,red
5,10,blue
4,1,red
5,3,blue
1,1,red
1,1,red
6,1,red
5,8,blue
8,7,blue
2,1,red
1,5,blue
10,5,blue
5,8,blue
1,2,red
10,10,blue
7,5,blue
5,1,red
1,1,red
3,1,red
4,1,red
8,4,red
5,1,red
1,1,red
3,1,red
9,7,blue
10,8,blue
1,1,red
5,1,red
1,1,red
5,10,blue
10,10,blue
1,1,red
1,1,red
5,1,red
8,10,blue
8,10,blue
1,1,red
10,10,blue
10,10,blue
8,7,blue
1,1,red
1,1,red
6,10,blue
6,1,red
1,1,red
10,6,blue
4,1,blue
7,5,blue
10,5,blue
1,1,red
10,5,blue
8,9,blue
1,1,red
10,10,blue
7,4,blue
6,8,blue
8,4,red
10,4,blue
3,3,red
10,8,blue
9,8,blue
8,10,blue
10,4,blue
5,1,red
3,1,red
2,1,red
1,1,red
1,1,red
5,1,red
8,10,blue
8,4,blue
4,1,red
1,2,red
10,4,blue
6,3,red
6,10,blue
9,10,blue
5,6,blue
3,1,red
3,1,red
3,1,red
5,7,red
10,5,blue
5,10,blue
8,8,blue
10,4,blue
7,9,blue
5,1,red
10,10,blue
3,3,blue
10,8,blue
1,1,red
8,4,blue
5,1,red
3,3,blue
7,2,blue
3,1,red
3,1,red
1,1,red
1,1,red
10,5,blue
3,1,red
2,1,red
1,4,blue
10,4,blue
7,4,blue
8,10,blue
10,10,blue
3,1,red
6,1,blue
5,6,blue
1,1,red
1,1,red
10,4,blue
5,5,blue
5,3,red
8,2,red
9,1,blue
8,4,blue
1,1,red
10,10,blue
1,1,red
8,3,blue
10,8,blue
1,1,red
1,1,red
7,8,blue
3,1,red
2,1,red
1,1,red
8,6,blue
1,1,red
1,1,red
5,5,blue
6,8,blue
1,1,red
4,4,red
7,6,blue
3,1,red
5,4,blue
1,1,red
3,2,red
10,1,blue
1,1,red
8,10,blue
10,4,blue
10,4,blue
5,1,red
5,2,red
5,4,blue
8,6,blue
1,1,red
